StartDate,TimeSign,CurrencyCode,CurrencyCodeL,Units,Amount
04.01.2021,0000,962,XPT,1,30203.49
04.01.2021,0000,964,XPD,1,66289.52
05.01.2021,0000,036,AUD,1,21.9374
05.01.2021,0000,944,AZN,1,16.7359
05.01.2021,0000,933,BYN,1,10.9392
05.01.2021,0000,975,BGN,1,17.8654
05.01.2021,0000,410,KRW,100,2.6281
05.01.2021,0000,344,HKD,1,3.6671
05.01.2021,0000,208,DKK,1,4.6974
05.01.2021,0000,840,USD,1,28.431
05.01.2021,0000,978,EUR,1,34.9389
05.01.2021,0000,818,EGP,1,1.8087
05.01.2021,0000,392,JPY,10,2.7607
05.01.2021,0000,985,PLN,1,7.6774
05.01.2021,0000,356,INR,10,3.8936
05.01.2021,0000,124,CAD,1,22.3655
05.01.2021,0000,191,HRK,1,4.6235
05.01.2021,0000,484,MXN,1,1.4374
05.01.2021,0000,498,MDL,1,1.6538
05.01.2021,0000,376,ILS,1,8.8656
05.01.2021,0000,554,NZD,1,20.4831
05.01.2021,0000,578,NOK,1,3.3427
05.01.2021,0000,710,ZAR,1,1.9488
05.01.2021,0000,643,RUB,10,3.8625
05.01.2021,0000,946,RON,1,7.1723
05.01.2021,0000,360,IDR,1000,2.0461
05.01.2021,0000,682,SAR,1,7.5788
05.01.2021,0000,702,SGD,1,21.5762
05.01.2021,0000,960,XDR,1,41.162
05.01.2021,0000,398,KZT,100,6.749
05.01.2021,0000,949,TRY,1,3.8587
05.01.2021,0000,348,HUF,100,9.6707
05.01.2021,0000,826,GBP,1,38.7344
05.01.2021,0000,203,CZK,1,1.3366
05.01.2021,0000,752,SEK,1,3.4639
05.01.2021,0000,756,CHF,1,32.3318
05.01.2021,0000,156,CNY,1,4.3984
05.01.2021,0000,012,DZD,10,2.1416
05.01.2021,0000,764,THB,10,9.445
05.01.2021,0000,986,BRL,1,5.4505
05.01.2021,0000,051,AMD,100,5.4105
05.01.2021,0000,936,GHS,1,4.8198
05.01.2021,0000,784,AED,1,7.698
05.01.2021,0000,704,VND,1000,1.2244
05.01.2021,0000,368,IQD,100,1.9366
05.01.2021,0000,364,IRR,10000,6.732
05.01.2021,0000,981,GEL,1,8.6366
05.01.2021,0000,422,LBP,100,1.8756
05.01.2021,0000,434,LYD,1,21.1383
05.01.2021,0000,458,MYR,1,7.0047
05.01.2021,0000,504,MAD,1,3.1763
05.01.2021,0000,901,TWD,10,10.06
05.01.2021,0000,941,RSD,10,2.9536
05.01.2021,0000,417,KGS,10,3.421
05.01.2021,0000,972,TJS,1,2.5022
05.01.2021,0000,050,BDT,10,3.3343
05.01.2021,0000,788,TND,1,10.5192
05.01.2021,0000,934,TMT,1,8.0785
05.01.2021,0000,860,UZS,1000,2.6988
05.01.2021,0000,959,XAU,1,55071.7
05.01.2021,0000,961,XAG,1,778.07
05.01.2021,0000,962,XPT,1,31498.7
05.01.2021,0000,964,XPD,1,69853.55
06.01.2021,0000,036,AUD,1,21.8659
06.01.2021,0000,944,AZN,1,16.7183
06.01.2021,0000,933,BYN,1,10.9651
06.01.2021,0000,975,BGN,1,17.8119
06.01.2021,0000,410,KRW,100,2.6129
06.01.2021,0000,344,HKD,1,3.6635
06.01.2021,0000,208,DKK,1,4.6847
06.01.2021,0000,840,USD,1,28.4028
06.01.2021,0000,978,EUR,1,34.846
06.01.2021,0000,818,EGP,1,1.811
06.01.2021,0000,392,JPY,10,2.7601
06.01.2021,0000,985,PLN,1,7.6607
06.01.2021,0000,356,INR,10,3.8811
06.01.2021,0000,124,CAD,1,22.261
06.01.2021,0000,191,HRK,1,4.6098
06.01.2021,0000,484,MXN,1,1.4151
06.01.2021,0000,498,MDL,1,1.6524
06.01.2021,0000,376,ILS,1,8.8703
06.01.2021,0000,554,NZD,1,20.4429
06.01.2021,0000,578,NOK,1,3.3299
06.01.2021,0000,710,ZAR,1,1.8893
06.01.2021,0000,643,RUB,10,3.7951
06.01.2021,0000,946,RON,1,7.1542
06.01.2021,0000,360,IDR,1000,2.0407
06.01.2021,0000,682,SAR,1,7.5711
06.01.2021,0000,702,SGD,1,21.5336
06.01.2021,0000,960,XDR,1,41.0897
06.01.2021,0000,398,KZT,100,6.7419
06.01.2021,0000,949,TRY,1,3.8424
06.01.2021,0000,348,HUF,100,9.6763
06.01.2021,0000,826,GBP,1,38.5568
06.01.2021,0000,203,CZK,1,1.3286
06.01.2021,0000,752,SEK,1,3.4668
06.01.2021,0000,756,CHF,1,32.2594
06.01.2021,0000,156,CNY,1,4.3944
06.01.2021,0000,012,DZD,10,2.1416
06.01.2021,0000,764,THB,10,9.445
06.01.2021,0000,986,BRL,1,5.4505
06.01.2021,0000,051,AMD,100,5.4105
06.01.2021,0000,936,GHS,1,4.8198
06.01.2021,0000,784,AED,1,7.698
06.01.2021,0000,704,VND,1000,1.2244
06.01.2021,0000,368,IQD,100,1.9366
06.01.2021,0000,364,IRR,10000,6.732
06.01.2021,0000,981,GEL,1,8.6366
06.01.2021,0000,422,LBP,100,1.8756
06.01.2021,0000,434,LYD,1,21.1383
06.01.2021,0000,458,MYR,1,7.0047
06.01.2021,0000,504,MAD,1,3.1763
06.01.2021,0000,901,TWD,10,10.06
06.01.2021,0000,941,RSD,10,2.9536
06.01.2021,0000,417,KGS,10,3.421
06.01.2021,0000,972,TJS,1,2.5022
06.01.2021,0000,050,BDT,10,3.3343
06.01.2021,0000,788,TND,1,10.5192
06.01.2021,0000,934,TMT,1,8.0785
06.01.2021,0000,860,UZS,1000,2.6988
06.01.2021,0000,959,XAU,1,55324.39
06.01.2021,0000,961,XAG,1,777.81
06.01.2021,0000,962,XPT,1,30724.16
06.01.2021,0000,964,XPD,1,68959.16
07.01.2021,0000,036,AUD,1,21.8659
07.01.2021,0000,944,AZN,1,16.7183
07.01.2021,0000,933,BYN,1,10.9651
07.01.2021,0000,975,BGN,1,17.8119
07.01.2021,0000,410,KRW,100,2.6129
07.01.2021,0000,344,HKD,1,3.6635
07.01.2021,0000,208,DKK,1,4.6847
07.01.2021,0000,840,USD,1,28.4028
07.01.2021,0000,978,EUR,1,34.846
07.01.2021,0000,818,EGP,1,1.811
07.01.2021,0000,392,JPY,10,2.7601
07.01.2021,0000,985,PLN,1,7.6607
07.01.2021,0000,356,INR,10,3.8811
07.01.2021,0000,124,CAD,1,22.261
07.01.2021,0000,191,HRK,1,4.6098
07.01.2021,0000,484,MXN,1,1.4151
07.01.2021,0000,498,MDL,1,1.6524
07.01.2021,0000,376,ILS,1,8.8703
07.01.2021,0000,554,NZD,1,20.4429
07.01.2021,0000,578,NOK,1,3.3299
07.01.2021,0000,710,ZAR,1,1.8893
07.01.2021,0000,643,RUB,10,3.7951
07.01.2021,0000,946,RON,1,7.1542
07.01.2021,0000,360,IDR,1000,2.0407
07.01.2021,0000,682,SAR,1,7.5711
07.01.2021,0000,702,SGD,1,21.5336
07.01.2021,0000,960,XDR,1,41.0897
07.01.2021,0000,398,KZT,100,6.7419
07.01.2021,0000,949,TRY,1,3.8424
07.01.2021,0000,348,HUF,100,9.6763
07.01.2021,0000,826,GBP,1,38.5568
07.01.2021,0000,203,CZK,1,1.3286
07.01.2021,0000,752,SEK,1,3.4668
07.01.2021,0000,756,CHF,1,32.2594
07.01.2021,0000,156,CNY,1,4.3944
07.01.2021,0000,012,DZD,10,2.1416
07.01.2021,0000,764,THB,10,9.445
07.01.2021,0000,986,BRL,1,5.4505
07.01.2021,0000,051,AMD,100,5.4105
07.01.2021,0000,936,GHS,1,4.8198
07.01.2021,0000,784,AED,1,7.698
07.01.2021,0000,704,VND,1000,1.2244
07.01.2021,0000,368,IQD,100,1.9366
07.01.2021,0000,364,IRR,10000,6.732
07.01.2021,0000,981,GEL,1,8.6366
07.01.2021,0000,422,LBP,100,1.8756
07.01.2021,0000,434,LYD,1,21.1383
07.01.2021,0000,458,MYR,1,7.0047
07.01.2021,0000,504,MAD,1,3.1763
07.01.2021,0000,901,TWD,10,10.06
07.01.2021,0000,941,RSD,10,2.9536
07.01.2021,0000,417,KGS,10,3.421
07.01.2021,0000,972,TJS,1,2.5022
07.01.2021,0000,050,BDT,10,3.3343
07.01.2021,0000,788,TND,1,10.5192
07.01.2021,0000,934,TMT,1,8.0785
07.01.2021,0000,860,UZS,1000,2.6988
07.01.2021,0000,959,XAU,1,55324.39
07.01.2021,0000,961,XAG,1,777.81
07.01.2021,0000,962,XPT,1,30724.16
07.01.2021,0000,964,XPD,1,68959.16
08.01.2021,0000,036,AUD,1,21.8659
08.01.2021,0000,944,AZN,1,16.7183
08.01.2021,0000,933,BYN,1,10.9651
08.01.2021,0000,975,BGN,1,17.8119
08.01.2021,0000,410,KRW,100,2.6129
08.01.2021,0000,344,HKD,1,3.6635
08.01.2021,0000,208,DKK,1,4.6847
08.01.2021,0000,840,USD,1,28.4028
08.01.2021,0000,978,EUR,1,34.846
08.01.2021,0000,818,EGP,1,1.811
08.01.2021,0000,392,JPY,10,2.7601
08.01.2021,0000,985,PLN,1,7.6607
08.01.2021,0000,356,INR,10,3.8811
08.01.2021,0000,124,CAD,1,22.261
08.01.2021,0000,191,HRK,1,4.6098
08.01.2021,0000,484,MXN,1,1.4151
08.01.2021,0000,498,MDL,1,1.6524
08.01.2021,0000,376,ILS,1,8.8703
08.01.2021,0000,554,NZD,1,20.4429
08.01.2021,0000,578,NOK,1,3.3299
08.01.2021,0000,710,ZAR,1,1.8893
08.01.2021,0000,643,RUB,10,3.7951
08.01.2021,0000,946,RON,1,7.1542
08.01.2021,0000,360,IDR,1000,2.0407
08.01.2021,0000,682,SAR,1,7.5711
08.01.2021,0000,702,SGD,1,21.5336
08.01.2021,0000,960,XDR,1,41.0897
08.01.2021,0000,398,KZT,100,6.7419
08.01.2021,0000,949,TRY,1,3.8424
08.01.2021,0000,348,HUF,100,9.6763
08.01.2021,0000,826,GBP,1,38.5568
08.01.2021,0000,203,CZK,1,1.3286
08.01.2021,0000,752,SEK,1,3.4668
08.01.2021,0000,756,CHF,1,32.2594
08.01.2021,0000,156,CNY,1,4.3944
08.01.2021,0000,012,DZD,10,2.1416
08.01.2021,0000,764,THB,10,9.445
08.01.2021,0000,986,BRL,1,5.4505
08.01.2021,0000,051,AMD,100,5.4105
08.01.2021,0000,936,GHS,1,4.8198
08.01.2021,0000,784,AED,1,7.698
08.01.2021,0000,704,VND,1000,1.2244
08.01.2021,0000,368,IQD,100,1.9366
08.01.2021,0000,364,IRR,10000,6.732
08.01.2021,0000,981,GEL,1,8.6366
08.01.2021,0000,422,LBP,100,1.8756
08.01.2021,0000,434,LYD,1,21.1383
08.01.2021,0000,458,MYR,1,7.0047
08.01.2021,0000,504,MAD,1,3.1763
08.01.2021,0000,901,TWD,10,10.06
08.01.2021,0000,941,RSD,10,2.9536
08.01.2021,0000,417,KGS,10,3.421
08.01.2021,0000,972,TJS,1,2.5022
08.01.2021,0000,050,BDT,10,3.3343
08.01.2021,0000,788,TND,1,10.5192
08.01.2021,0000,934,TMT,1,8.0785
08.01.2021,0000,860,UZS,1000,2.6988
08.01.2021,0000,959,XAU,1,55324.39
08.01.2021,0000,961,XAG,1,777.81
08.01.2021,0000,962,XPT,1,30724.16
08.01.2021,0000,964,XPD,1,68959.16
09.01.2021,0000,036,AUD,1,21.8659
09.01.2021,0000,944,AZN,1,16.7183
09.01.2021,0000,933,BYN,1,10.9651
09.01.2021,0000,975,BGN,1,17.8119
09.01.2021,0000,410,KRW,100,2.6129
09.01.2021,0000,344,HKD,1,3.6635
09.01.2021,0000,208,DKK,1,4.6847
09.01.2021,0000,840,USD,1,28.4028
09.01.2021,0000,978,EUR,1,34.846
09.01.2021,0000,818,EGP,1,1.811
09.01.2021,0000,392,JPY,10,2.7601
09.01.2021,0000,985,PLN,1,7.6607
09.01.2021,0000,356,INR,10,3.8811
09.01.2021,0000,124,CAD,1,22.261
09.01.2021,0000,191,HRK,1,4.6098
09.01.2021,0000,484,MXN,1,1.4151
09.01.2021,0000,498,MDL,1,1.6524
09.01.2021,0000,376,ILS,1,8.8703
09.01.2021,0000,554,NZD,1,20.4429
09.01.2021,0000,578,NOK,1,3.3299
09.01.2021,0000,710,ZAR,1,1.8893
09.01.2021,0000,643,RUB,10,3.7951
09.01.2021,0000,946,RON,1,7.1542
09.01.2021,0000,360,IDR,1000,2.0407
09.01.2021,0000,682,SAR,1,7.5711
09.01.2021,0000,702,SGD,1,21.5336
09.01.2021,0000,960,XDR,1,41.0897
09.01.2021,0000,398,KZT,100,6.7419
09.01.2021,0000,949,TRY,1,3.8424
09.01.2021,0000,348,HUF,100,9.6763
09.01.2021,0000,826,GBP,1,38.5568
09.01.2021,0000,203,CZK,1,1.3286
09.01.2021,0000,752,SEK,1,3.4668
09.01.2021,0000,756,CHF,1,32.2594
09.01.2021,0000,156,CNY,1,4.3944
09.01.2021,0000,012,DZD,10,2.1416
09.01.2021,0000,764,THB,10,9.445
09.01.2021,0000,986,BRL,1,5.4505
09.01.2021,0000,051,AMD,100,5.4105
09.01.2021,0000,936,GHS,1,4.8198
09.01.2021,0000,784,AED,1,7.698
09.01.2021,0000,704,VND,1000,1.2244
09.01.2021,0000,368,IQD,100,1.9366
09.01.2021,0000,364,IRR,10000,6.732
09.01.2021,0000,981,GEL,1,8.6366
09.01.2021,0000,422,LBP,100,1.8756
09.01.2021,0000,434,LYD,1,21.1383
09.01.2021,0000,458,MYR,1,7.0047
09.01.2021,0000,504,MAD,1,3.1763
09.01.2021,0000,901,TWD,10,10.06
09.01.2021,0000,941,RSD,10,2.9536
09.01.2021,0000,417,KGS,10,3.421
09.01.2021,0000,972,TJS,1,2.5022
09.01.2021,0000,050,BDT,10,3.3343
09.01.2021,0000,788,TND,1,10.5192
09.01.2021,0000,934,TMT,1,8.0785
09.01.2021,0000,860,UZS,1000,2.6988
09.01.2021,0000,959,XAU,1,55324.39
09.01.2021,0000,961,XAG,1,777.81
09.01.2021,0000,962,XPT,1,30724.16
09.01.2021,0000,964,XPD,1,68959.16
10.01.2021,0000,036,AUD,1,21.8659
10.01.2021,0000,944,AZN,1,16.7183
10.01.2021,0000,933,BYN,1,10.9651
10.01.2021,0000,975,BGN,1,17.8119
10.01.2021,0000,410,KRW,100,2.6129
10.01.2021,0000,344,HKD,1,3.6635
10.01.2021,0000,208,DKK,1,4.6847
10.01.2021,0000,840,USD,1,28.4028
10.01.2021,0000,978,EUR,1,34.846
10.01.2021,0000,818,EGP,1,1.811
10.01.2021,0000,392,JPY,10,2.7601
10.01.2021,0000,985,PLN,1,7.6607
10.01.2021,0000,356,INR,10,3.8811
10.01.2021,0000,124,CAD,1,22.261
10.01.2021,0000,191,HRK,1,4.6098
10.01.2021,0000,484,MXN,1,1.4151
10.01.2021,0000,498,MDL,1,1.6524
10.01.2021,0000,376,ILS,1,8.8703
10.01.2021,0000,554,NZD,1,20.4429
10.01.2021,0000,578,NOK,1,3.3299
10.01.2021,0000,710,ZAR,1,1.8893
10.01.2021,0000,643,RUB,10,3.7951
10.01.2021,0000,946,RON,1,7.1542
10.01.2021,0000,360,IDR,1000,2.0407
10.01.2021,0000,682,SAR,1,7.5711
10.01.2021,0000,702,SGD,1,21.5336
10.01.2021,0000,960,XDR,1,41.0897
10.01.2021,0000,398,KZT,100,6.7419
10.01.2021,0000,949,TRY,1,3.8424
10.01.2021,0000,348,HUF,100,9.6763
10.01.2021,0000,826,GBP,1,38.5568
10.01.2021,0000,203,CZK,1,1.3286
10.01.2021,0000,752,SEK,1,3.4668
10.01.2021,0000,756,CHF,1,32.2594
10.01.2021,0000,156,CNY,1,4.3944
10.01.2021,0000,012,DZD,10,2.1416
10.01.2021,0000,764,THB,10,9.445
10.01.2021,0000,986,BRL,1,5.4505
10.01.2021,0000,051,AMD,100,5.4105
